Registrant Name,Client Name,Filing Type,Amount Reported,Date Posted,Filing Year
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,40000.00,07/17/2012,2012
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,50000.00,07/19/2011,2011
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,60000.00,07/20/2016,2016
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,60000.00,07/20/2017,2017
Capitol Hill Consulting Group,ORACLE,SECOND QUARTER REPORT,60000.00,07/20/2018,2018
Capitol Hill Consulting Group,ORACLE,MID-YEAR REPORT,100000.00,08/08/2006,2006
Capitol Hill Consulting Group,ORACLE,MID-YEAR REPORT,80000.00,08/08/2007,2007
Capitol Hill Consulting Group,ORACLE,MID-YEAR REPORT,80000.00,08/13/2004,2004
Capitol Hill Consulting Group,ORACLE,MID-YEAR REPORT,80000.00,08/21/2002,2002
Capitol Hill Consulting Group,ORACLE,MID-YEAR REPORT,100000.00,08/21/2003,2003
Capitol Hill Consulting Group,ORACLE,MID-YEAR REPORT,100000.00,08/22/2005,2005
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,60000.00,10/08/2013,2013
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,50000.00,10/09/2009,2009
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,40000.00,10/10/2012,2012
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,60000.00,10/11/2018,2018
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,50000.00,10/14/2010,2010
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,60000.00,10/16/2014,2014
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,50000.00,10/17/2008,2008
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,50000.00,10/18/2011,2011
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,60000.00,10/19/2017,2017
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,60000.00,10/20/2015,2015
Capitol Hill Consulting Group,ORACLE,THIRD QUARTER REPORT,60000.00,10/20/2016,2016
Cauthen Forbes & Williams,Oracle,FOURTH QUARTER (NO ACTIVITY),60000.00,01/22/2013,2012
Cauthen Forbes & Williams,Oracle,REGISTRATION,,02/08/2012,2012
